i_item_id|i_item_name|i_category_id|i_category_name|price_1|price_2|quantity
0|item#0000|0|cat#00|53.09|28.33|2
1|item#0001|2|cat#02|28.89|35.29|8
2|item#0002|5|cat#05|4.70|8.98|15
3|item#0003|7|cat#07|79.50|87.26|1
4|item#0004|10|cat#10|55.31|98.76|10
5|item#0005|13|cat#13|31.11|30.29|5
6|item#0006|15|cat#15|6.92|11.50|19
7|item#0007|18|cat#18|81.72|69.42|19
8|item#0008|1|cat#01|57.53|88.45|3
9|item#0009|3|cat#03|33.33|24.18|5
10|item#0010|6|cat#06|9.14|12.92|6
11|item#0011|8|cat#08|83.94|50.48|6
12|item#0012|11|cat#11|59.75|77.04|2
13|item#0013|14|cat#14|35.55|70.29|8
14|item#0014|16|cat#16|11.36|13.24|2
15|item#0015|19|cat#19|86.16|159.68|12
16|item#0016|2|cat#02|61.97|64.53|16
17|item#0017|4|cat#04|37.77|65.31|3
18|item#0018|7|cat#07|13.58|12.46|8
19|item#0019|9|cat#09|88.38|141.86|17
20|item#0020|12|cat#12|64.19|50.91|12
21|item#0021|15|cat#15|39.99|59.23|5
22|item#0022|17|cat#17|15.80|10.57|3
23|item#0023|0|cat#00|90.60|122.95|14
24|item#0024|3|cat#03|66.41|36.20|13
25|item#0025|5|cat#05|42.21|52.05|3
26|item#0026|8|cat#08|18.02|34.62|2
27|item#0027|11|cat#11|92.82|102.93|17
28|item#0028|13|cat#13|68.63|123.32|19
29|item#0029|16|cat#16|44.43|43.76|16
30|item#0030|18|cat#18|20.24|33.86|8
31|item#0031|1|cat#01|95.04|81.82|7
32|item#0032|4|cat#04|70.85|109.74|12
33|item#0033|6|cat#06|46.65|34.37|19
34|item#0034|9|cat#09|22.46|32.00|10
35|item#0035|12|cat#12|97.26|59.60|13
36|item#0036|14|cat#14|73.07|95.05|8
37|item#0037|17|cat#17|48.87|97.19|20
38|item#0038|19|cat#19|24.68|29.04|16
39|item#0039|2|cat#02|99.48|185.50|15
40|item#0040|5|cat#05|75.29|79.25|4
41|item#0041|7|cat#07|51.09|88.93|12
42|item#0042|10|cat#10|26.90|24.98|3
43|item#0043|13|cat#13|2.70|4.36|14
44|item#0044|15|cat#15|77.51|62.36|14
45|item#0045|18|cat#18|53.31|79.57|5
46|item#0046|1|cat#01|29.12|19.82|2
47|item#0047|3|cat#03|4.92|6.73|12
48|item#0048|6|cat#06|79.73|44.37|14
49|item#0049|8|cat#08|55.53|69.10|9
50|item#0050|11|cat#11|31.34|60.56|8
51|item#0051|14|cat#14|7.14|8.00|5
52|item#0052|16|cat#16|81.95|148.19|3
53|item#0053|19|cat#19|57.75|57.54|18
54|item#0054|2|cat#02|33.56|56.52|18
55|item#0055|4|cat#04|9.36|8.16|20
56|item#0056|7|cat#07|84.16|131.31|4
57|item#0057|9|cat#09|59.97|44.87|2
58|item#0058|12|cat#12|35.77|51.37|10
59|item#0059|15|cat#15|11.58|7.23|19
60|item#0060|17|cat#17|86.38|113.34|17
61|item#0061|0|cat#00|62.19|31.10|16
62|item#0062|3|cat#03|37.99|45.14|11
